FRA;87280009
FRA;59242006
FRA;71480007
FRA;74520012
FRA;1120009
FRA;33170010
FRA;33840003
FRA;26780008
FRA;42600010
FRA;48200008
FRA;59113011
FRA;60490009
FRA;41000005
FRA;17350006
FRA;17800001
FRA;41000021
FRA;17350001
FRA;91640004
FRA;79230004
FRA;79800008
FRA;33920006
FRA;28310010
FRA;45520004
FRA;44370009
FRA;72190003
FRA;72400018
FRA;49480005
FRA;72190004
FRA;27310009
FRA;78710005
FRA;27400011
FRA;14730004
FRA;60110004
FRA;36150004
FRA;2190003
FRA;80290008
FRA;59125005
FRA;52160010
FRA;52140007
FRA;52160008
FRA;88170007
FRA;21220008
FRA;51800012
FRA;67700012
FRA;51400010
FRA;51400011
FRA;57855003
FRA;74520009
FRA;74600013
FRA;74570011
FRA;38080007
FRA;38340018
FRA;77130012
FRA;77130013
FRA;13600013
FRA;13600022
FRA;13124003
FRA;21200009
FRA;21360006
FRA;69380010
FRA;69380009
FRA;21320007
FRA;21350002
FRA;11290002
FRA;11290001
FRA;11700008
FRA;82210006
FRA;33720008
FRA;40260008
FRA;33610007
FRA;33610008
FRA;33520003
FRA;33520002
FRA;40300009
FRA;31210007
FRA;31220006
FRA;26800002
FRA;69360018
FRA;41300007
FRA;18500006
FRA;3170001
FRA;3100006
FRA;18500007
FRA;63960002
FRA;43360004
FRA;6240006
FRA;83600013
FRA;53960001
FRA;79160002
FRA;85500001
FRA;33660004
FRA;42440010
FRA;34690009
FRA;66300013
FRA;34690010
FRA;34400016
FRA;4200009
FRA;63114003
FRA;77116001
FRA;77760003
FRA;37270006
FRA;62860007
FRA;45190014
FRA;34290007
FRA;28300009
FRA;76210006
FRA;27310010
FRA;67170010
FRA;1430003
FRA;25640009
FRA;28300010
FRA;52120003
FRA;86100013
FRA;41600007
FRA;77140012
FRA;39700015
FRA;39700017
FRA;74600016
FRA;31620013
FRA;21250005
FRA;74570012
FRA;51390002
FRA;67260010
FRA;80970003
FRA;67120006
FRA;13320014
FRA;89420008
FRA;19800005
FRA;42510007
FRA;50420001
FRA;73190002
FRA;64170013
FRA;64170012
FRA;11480007
FRA;73390007
FRA;40260002
FRA;47430002
FRA;45190015
FRA;13650003
FRA;1390009
FRA;1390011
FRA;52140006
FRA;84550004
FRA;73182003
FRA;11110008
FRA;82710003
FRA;46600005
FRA;42600011
FRA;21130010
FRA;21130009
FRA;74130004
FRA;31290012
FRA;68520011
FRA;83550006
FRA;14130010
FRA;13180001
FRA;62120014
FRA;78710004
FRA;38330006
FRA;26140005
FRA;10150003
FRA;11480009
FRA;63410001
FRA;51230004
FRA;62128007
FRA;69220007
FRA;30126008
FRA;49340001
FRA;73390008
FRA;89920001
FRA;83550005
FRA;89190007
FRA;89190008
FRA;77410008
FRA;13127005
FRA;83130008
FRA;11700007
FRA;37190003
FRA;49480007
FRA;33720010
FRA;21250009
FRA;42440011
FRA;67600003
FRA;39140006
FRA;36330001
FRA;40410004
FRA;72500006
FRA;73140008
FRA;28310004
FRA;72300005
FRA;87160008
FRA;2190005
FRA;67540003
FRA;89132001
FRA;33170003
FRA;31410003
FRA;31410002
FRA;49160003
FRA;49160004
FRA;34290003
FRA;95470008
FRA;72300004
FRA;72400017
FRA;51390001
FRA;88170006
FRA;80200005
FRA;95480002
FRA;76150002
FRA;89150002
FRA;87280002
FRA;87160002
FRA;61230006
FRA;80140006
FRA;80140005
FRA;54630001
FRA;1250007
FRA;38190004
FRA;38480005
FRA;69360012
FRA;38690007
FRA;83160004
FRA;41600004
FRA;72230005
FRA;80200012
FRA;93120004
FRA;93120005
FRA;60490007
FRA;95470009
FRA;62128010
FRA;59113013
FRA;86100014
FRA;86130010
FRA;33920005
FRA;33240010
FRA;91640003
FRA;79230005
FRA;79800011
FRA;37800006
FRA;45520003
FRA;37380004
FRA;37800008
FRA;37380003
FRA;17800005
FRA;33240005
FRA;94150005
FRA;44370008
FRA;28160004
FRA;28160008
FRA;27210009
FRA;78630009
FRA;78630008
FRA;27400007
FRA;14730001
FRA;27210006
FRA;95480003
FRA;62250010
FRA;62250011
FRA;60120006
FRA;62630006
FRA;45300009
FRA;45340005
FRA;59174002
FRA;62147005
FRA;62147001
FRA;46240003
FRA;82270002
FRA;19510002
FRA;36350002
FRA;59494009
FRA;59114006
FRA;59114007
FRA;62143003
FRA;62860006
FRA;62153004
FRA;2690002
FRA;76680004
FRA;61250003
FRA;76680005
FRA;80800007
FRA;57140003
FRA;57140005
FRA;21490003
FRA;54200014
FRA;54700010
FRA;21220006
FRA;54700011
FRA;54300011
FRA;8270002
FRA;68390004
FRA;25150006
FRA;25640007
FRA;68520006
FRA;77600003
FRA;77600004
FRA;67260007
FRA;57740008
FRA;67170009
FRA;67700010
FRA;2130005
FRA;55160014
FRA;55160013
FRA;57740010
FRA;77260013
FRA;77260012
FRA;51800015
FRA;1250005
FRA;1430005
FRA;73800001
FRA;73420005
FRA;1120008
FRA;38080006
FRA;69800013
FRA;69800012
FRA;73870003
FRA;69360013
FRA;69700012
FRA;42400006
FRA;38340011
FRA;26730006
FRA;26730005
FRA;10270006
FRA;10270007
FRA;13011016
FRA;4130005
FRA;4130004
FRA;13124004
FRA;13700009
FRA;77550005
FRA;77550004
FRA;71240008
FRA;21190007
FRA;21190006
FRA;69570005
FRA;89116003
FRA;71260006
FRA;71260009
FRA;89290007
FRA;91100015
FRA;91100014
FRA;69220011
FRA;89420003
FRA;21360003
FRA;31290008
FRA;31450008
FRA;31450009
FRA;47310006
FRA;31620014
FRA;40410005
FRA;64210005
FRA;64210006
FRA;40530002
FRA;40530001
FRA;64530004
FRA;40800007
FRA;69340003
FRA;84700006
FRA;26600011
FRA;13680007
FRA;13680008
FRA;26780009
FRA;69360011
FRA;26600013
FRA;26800007
FRA;84310004
FRA;84550005
FRA;26140002
FRA;26270009
FRA;63440003
FRA;18200011
FRA;41300008
FRA;12150006
FRA;34520002
FRA;58150003
FRA;45290003
FRA;83170011
FRA;83170012
FRA;83480006
FRA;6250009
FRA;6320003
FRA;13790005
FRA;53270002
FRA;44120004
FRA;44840002
FRA;79160003
FRA;85250003
FRA;85260007
FRA;50240003
FRA;41200009
FRA;78350002
FRA;78140008
FRA;94003002
FRA;94000010
FRA;19600004
FRA;24330007
FRA;63190011
FRA;30126005
FRA;34400017
FRA;30320006
FRA;11110005
FRA;30320007
FRA;2130006
FRA;77140010
FRA;71240009
FRA;77410009
FRA;38480007
FRA;90160001
FRA;13790003
FRA;3400006
FRA;91460014
FRA;72170004
FRA;22350006
FRA;62120017
FRA;34700005
FRA;12230003
FRA;81190002
FRA;91250011
FRA;61200008
FRA;91100017
FRA;33700023
FRA;33700022
FRA;91570003
FRA;40260005
FRA;85210007
FRA;86130008
FRA;19340003
FRA;59760002
FRA;1700004
FRA;71480006
FRA;57280003
FRA;76720002
ESP;3733
ESP;6988
ESP;6989
ESP;363
ESP;3736
ESP;71
ESP;70
ESP;1089
ESP;1090
ESP;1066
ESP;1035
ESP;1180
ESP;1181
ESP;1178
ESP;1179
ESP;1143
ESP;1415
ESP;1416
ESP;7430
ESP;1085
ESP;1086
ESP;813
ESP;814
ESP;5079
ESP;5078
ESP;2380
ESP;2381
ESP;2379
ESP;104
ESP;105
ESP;208
ESP;106
ESP;107
ESP;3293
ESP;7422
ESP;7420
ESP;7421
ESP;7423
ESP;7426
ESP;2231
ESP;4630
ESP;4631
ESP;15953
ESP;4329
ESP;12162
ESP;5304
ESP;10934
ESP;1502
ESP;15939
ESP;15946
ESP;15996
ESP;8905
ESP;6177
ESP;6401
ESP;4916
ESP;15947
ESP;908
ESP;11787
ESP;5968
ESP;1183
ESP;1521
ESP;1982
ESP;11078
ESP;4096
ESP;4097
ESP;411
ESP;978
ESP;356
ESP;669
ESP;11244
ESP;2291
ESP;2979
ESP;3230
ESP;11305
ESP;11306
ESP;2260
ESP;4989
ESP;4984
ESP;4991
ESP;4983
ESP;12159
ESP;12158
ESP;1353
ESP;3041
ESP;3038
ESP;3376
ESP;3378
ESP;1354
ESP;1352
ESP;3040
ESP;3039
ESP;3377
ESP;3375
ESP;1355
ESP;2775
ESP;16228
ESP;1992
ESP;1991
ESP;11054
ESP;10948
ESP;10610
ESP;10949
ESP;11053
ESP;10611
ESP;7468
ESP;7466
ESP;12124
ESP;12125
ESP;3139
ESP;4492
ESP;6146
ESP;6147
ESP;2377
ESP;2378
ESP;1413
ESP;1414
ESP;207
ESP;4104
ESP;3737
ESP;3743
ESP;3020
ESP;3389
ESP;3379
ESP;4111
ESP;4110
ESP;3747
ESP;3744
ESP;3746
ESP;3735
ESP;3021
ESP;3388
ESP;3380
ESP;3034
ESP;3745
ESP;4109
ESP;3718
ESP;3717
ESP;2965
ESP;2980
ESP;10319
ESP;3042
ESP;7425
ESP;10974
ESP;16044
ESP;16045
ESP;2341
ESP;16393
ESP;15766
ESP;16262
ESP;2332
ESP;16224
ESP;11170
ESP;3017
ESP;15720
ESP;6067
ESP;6066
ESP;7460
ESP;7461
ESP;78
ESP;146
ESP;77
ESP;145
ESP;12045
ESP;12046
ESP;650
ESP;559
ESP;926
ESP;11502
ESP;1522
ESP;12090
ESP;10837
ESP;10836
ESP;2815
ESP;10633
ESP;8772
ESP;7770
ESP;2817
ESP;4636
ESP;4637
ESP;7358
ESP;7726
ESP;13315
ESP;2964
ESP;2932
ESP;8129
ESP;8130
ESP;8711
ESP;11889
ESP;4641
ESP;7890
ESP;5507
ESP;5508
ESP;7730
ESP;10127
ESP;7637
ESP;7700
ESP;9635
ESP;4016
ESP;4644
